1	0.15	1	0.85	0.85	0.05	0.1	0.65	0.05	0.05	0.05	0.9	0.05	0.1	0.15	0.25	0.1	0.75	0.95	0.9	0.55	0.15	0.15	0.45	0.4	0	0.3	0.45	0.5	0.55	0.3	1	0.1	0.8	0.8	0.1	0.1	0.8	0.9	0.05	0.05	0.1	0.15	0.9	0.85	0.9	0.15	0.1	0.65	0.5	0.05	0.5	0.45	0.25	0.05	0	0.6
1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0
0.5	0.5	0.5	0.3	0.3	1	0.2	0.1	0.1	0.1	0.3	0.3	0.1	0.3	0.1	0.4	0.2	0	0.1	0.8	0.5	0.6	0.3	0.5	0.5	0.1	0.4	0.3	0.8	0.5	0.7	0.6	0.5	0.7	0.7	0.7	0.3	0.5	0.3	0.3	0.3	0.3	0.3	0.3	0.4	0.5	0.5	0.7	0.5	0	0.3	0.6	0	0.1	0	0.2	0.2
1	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1
0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	1	0	1	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0
0.047619	0	0.0238095	0	0	0.119048	0.0238095	0.0714286	0.119048	0.0714286	0.119048	0.0952381	0.0238095	0.0714286	0.119048	0.0952381	0.0952381	0.0714286	0	0.0238095	0.0714286	0.190476	0.0238095	0.166667	0.119048	0.0714286	0.142857	0.119048	0.142857	0.142857	0.0952381	0.0238095	0.214286	0	0	0.0714286	0.047619	0	0	0	0.0238095	0	0	0.047619	0.0238095	0.0238095	0.047619	0.047619	0.357143	0.0238095	0.0714286	0	0	0.166667	0	0.047619	0
0.0917031	0.0349345	0.0851528	0.0851528	0.111354	0.104803	0.0414847	0.0349345	0.0458515	0.0240175	0.0414847	0.0262009	0.0262009	0.0283843	0.0371179	0.0458515	0.0655022	0.0131004	0.0240175	0.0851528	0.0371179	0.0305677	0.0414847	0.0305677	0.0283843	0.0283843	0.0327511	0.0371179	0.0262009	0.0393013	0.303493	0.222707	0.203057	0.0524017	0.0545852	0.0480349	0.0502183	0.0436681	0.0305677	0.0502183	0.0174672	0.0393013	0.0524017	0.0436681	0.0414847	0.0414847	0.0436681	0.0502183	0.0524017	0.0545852	0.0502183	0.0524017	0.0436681	0.0676856	0.0218341	0.0305677	0.0283843
0.777778	0.833333	0.722222	0.555556	0.944444	0.611111	0.777778	0.388889	0.777778	0.722222	0.944444	0.944444	0.888889	0.888889	0.944444	0.888889	0.888889	0.277778	0.944444	0.888889	0.666667	0.944444	0.666667	0.888889	0.944444	0.888889	0.833333	0.944444	0.888889	0.611111	0.833333	0.388889	0.944444	0.944444	0.888889	0.611111	0.777778	0.333333	0.944444	0.888889	0.833333	0.888889	0.944444	0.722222	0.777778	0.888889	0.777778	0.611111	0.944444	0.888889	0.722222	0.833333	0.555556	0.555556	0.611111	0.611111	0.555556
0.0116279	0.372093	0.0116279	1	1	0.209302	1	1	1	1	1	1	1	1	0.988372	1	1	1	1	0.0232558	0.406977	0.139535	0.0116279	0.337209	0.406977	0.0813953	0.406977	0.290698	0.27907	0.418605	0.22093	0.0116279	1	0.0116279	0.0232558	0	0.0116279	0.0348837	1	1	0	0	1	0.0116279	0	1	0.186047	0.174419	0.232558	0.988372	0.988372	0	0.976744	1	1	0.0348837	0.988372
0.305556	0.472222	0.138889	0.166667	0.444444	0.138889	0.277778	0.583333	0.638889	0.555556	0.805556	0.75	0.527778	0.138889	0.194444	0.138889	0.222222	0.805556	0.166667	0	0.5	0.722222	0.361111	0.722222	0.666667	0.611111	0.666667	0.75	0.694444	0.138889	0.222222	0.555556	0.75	0.5	0.5	0.444444	0.361111	0.111111	0.416667	0.472222	0.0833333	0.416667	0.333333	0.416667	0.0555556	0.305556	0.111111	0.194444	0.111111	0.25	0.194444	0.277778	0.166667	0.222222	0.111111	0.111111	0.333333
